,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
274,"Sugarcane Juice - Cold-Pressed, No Added Sugar, Preservative Free",₹223.25,₹267,Fresho Signature,3x250 ml - Multipack
275,Health & Nutrition Drink - Chocolate,₹199,₹199,Chocolate Horlicks,400 g - Pouch
276,Amla Juice,₹807.3,₹897,Kapiva,3 x 1 L - Multipack
277,"Pineapple Juice - Cold-Pressed, No Added Sugar, Preservative Free",₹312.29,₹387,Fresho Signature,3x250 ml - Multipack
278,"Fruit Beverage - No Added Sugar, Low Calories, Ginger Lemon",₹162,₹180,Paper Boat,3x600 ml - Multipack
279,Zero Sucrose Health Drink Vanilla,₹595,₹595,Pediasure,400 g - Box
280,Assam Tea,₹699,₹699,Twinings,200 g - (100 Bags x 2 g each)
281,"Mixed Fruit Medley Juice - Enriched With Vitamin D, No GMOs",₹120,₹120,Paperboat Swing,3x600 ml - Multipack
282,Fruit Juice - Masala Mixed Fruit,₹137.2,₹280,Real,2 x 1 L - Multipack
283,Masters Blend Tea- Rich Taste,₹1118,₹1500,Emperia,2x1 kg - (Multipack)
